Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
100,42.87047447375505,28.666887524331088,0,0,0.0481,0.045,0.0512,1560,0.0020943940341783,0,0.0020943940341783,0.0020943940341783,100_101:0.002332771497071534,100_101:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
101,210.1058605824489,181.48091823736775,0,0,0.0409999999999999,0.0474,0.0346,1560,0.0002988699838331,0,0.0002988699838331,0.0002988699838331,101_116:0.0023050653699762946;101_102:0.0027528077616998103;101_100:0.002332771497071534,101_116:68;101_102:68;101_100:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
102,91.66143423978404,95.0705913062446,0,0,0.0085999999999999,0.0118,0.0053999999999999,1560,0.0001322946245978,0,0.0001322946245978,0.0001322946245978,102_103:0.002083005723232667;102_101:0.0027528077616998103,102_103:88;102_101:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
103,184.55574595921613,163.9918761546548,0,0,0.0071999999999999,0.011,0.0034,1560,0.0001906141654391,0,0.0001906141654391,0.0001906141654391,103_104:0.003891889140875626;103_102:0.002083005723232667;103_96:0.002435212178687751,103_104:68;103_102:88;103_96:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
104,126.57136089320004,85.56125078371282,0,0,0.0253999999999999,0.0232,0.0275999999999999,1560,0.0001690248862259,0,0.0001690248862259,0.0001690248862259,104_105:0.002847655276937533;104_103:0.003891889140875626,104_105:68;104_103:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
105,173.81113764402505,150.1740254251519,0,0,0.0105999999999999,0.0124,0.0088,1560,0.0003185958530446,0,0.0003185958530446,0.0003185958530446,105_104:0.002847655276937533;105_117:0.0031632936648834653;105_106:0.0019730490717908555,105_104:68;105_117:68;105_106:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
106,103.4531827709216,73.06840115792816,0,0,0.0214999999999999,0.0276,0.0153999999999999,1560,0.0002297569906908,0,0.0002297569906908,0.0002297569906908,106_105:0.0019730490717908555;106_107:0.002522799172397089,106_105:68;106_107:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
107,143.98360567226615,21.970983406383663,0,0,0.0066999999999999,0.0093999999999999,0.004,1560,0.0003043599758043,0,0.0003043599758043,0.0003043599758043,107_108:0.002734814394319829;107_97:0.0025596699401180534;107_106:0.002522799172397089,107_108:68;107_97:68;107_106:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
108,166.38475198626065,153.79006898962416,0,0,0.031,0.0362,0.0258,1560,0.0003347648472951,0,0.0003347648472951,0.0003347648472951,108_109:0.002983168068739578;108_107:0.002734814394319829,108_109:68;108_107:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
109,170.94467834148142,91.1084140609058,0,0,0.0241,0.0312,0.017,1560,0.0002118832074662,0,0.0002118832074662,0.0002118832074662,109_108:0.002983168068739578;109_110:0.002401015599371087;109_118:0.002853920795309939,109_108:68;109_110:68;109_118:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
